[2025-10-26 12:53:13] ==================================================
[2025-10-26 12:53:13] 나라장터 복수예가입찰 데이터 전처리 V2 시작
[2025-10-26 12:53:13] 원본 디렉토리: /mnt/a/25/data
[2025-10-26 12:53:13] 출력 디렉토리: /mnt/a/25/data전처리완료
[2025-10-26 12:53:13] ==================================================
[2025-10-26 12:53:13] 발견된 Excel 파일 수: 937
[2025-10-26 12:53:17] ✓ 저장 완료: 20231107013-00_통합.xlsx
[2025-10-26 12:53:17] 
[45/400] 처리 중: 20231107032-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231107032-00_통합.xlsx
[2025-10-26 12:53:17] 
[46/400] 처리 중: 20231108682-00
[2025-10-26 12:53:17] 참여업체 5개 미만: 20231108682-00.xlsx
[2025-10-26 12:53:17] ✗ 처리 실패: 20231108682-00
[2025-10-26 12:53:17] 
[47/400] 처리 중: 20231119210-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231119210-00_통합.xlsx
[2025-10-26 12:53:17] 
[48/400] 처리 중: 20231119237-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231119237-00_통합.xlsx
[2025-10-26 12:53:17] 
[49/400] 처리 중: 20231138043-00
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 2.24245
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 2.73443
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 3.06209
[2025-10-26 12:53:17] ✓ 저장 완료: 20231138043-00_통합.xlsx
[2025-10-26 12:53:17] 
[50/400] 처리 중: 20231202343-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231202343-00_통합.xlsx
[2025-10-26 12:53:17] 
[51/400] 처리 중: 20231203042-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231203042-00_통합.xlsx
[2025-10-26 12:53:17] 
[52/400] 처리 중: 20231208088-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231208088-00_통합.xlsx
[2025-10-26 12:53:17] 
[53/400] 처리 중: 20231208495-00
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 7.87965
[2025-10-26 12:53:17] ✓ 저장 완료: 20231208495-00_통합.xlsx
[2025-10-26 12:53:17] 
[54/400] 처리 중: 20231209119-01
[2025-10-26 12:53:17] ✓ 저장 완료: 20231209119-01_통합.xlsx
[2025-10-26 12:53:17] 
[55/400] 처리 중: 20231209967-00
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: -10.41591
